20-10-4 18:55:44.6|Info|add_temporary_blacklist_columns|Starting migration to 47
20-10-4 18:55:44.6|Info|MigrationLogger|*** 48: add_title_to_scenemappings migrating ***
20-10-4 18:55:44.6|Info|add_title_to_scenemappings|Starting migration to 48
20-10-4 18:55:44.6|Info|MigrationLogger|*** 49: fix_dognzb_url migrating ***
20-10-4 18:55:44.6|Info|fix_dognzb_url|Starting migration to 49
20-10-4 18:55:44.6|Info|MigrationLogger|*** 50: add_hash_to_metadata_files migrating ***
20-10-4 18:55:44.6|Info|add_hash_to_metadata_files|Starting migration to 50
20-10-4 18:55:44.6|Info|MigrationLogger|*** 51: download_client_import migrating ***
20-10-4 18:55:44.6|Info|download_client_import|Starting migration to 51
20-10-4 18:55:44.6|Info|MigrationLogger|*** 52: add_columns_for_anime migrating ***
20-10-4 18:55:44.6|Info|add_columns_for_anime|Starting migration to 52
20-10-4 18:55:44.6|Info|MigrationLogger|*** 53: add_series_sorttitle migrating ***
20-10-4 18:55:44.6|Info|add_series_sorttitle|Starting migration to 53
20-10-4 18:55:44.6|Info|MigrationLogger|*** 54: rename_profiles migrating ***
20-10-4 18:55:44.6|Info|rename_profiles|Starting migration to 54
20-10-4 18:55:44.6|Info|MigrationLogger|*** 55: drop_old_profile_columns migrating ***
20-10-4 18:55:44.6|Info|drop_old_profile_columns|Starting migration to 55
20-10-4 18:55:44.7|Info|MigrationLogger|*** 56: add_mediainfo_to_episodefile migrating ***
20-10-4 18:55:44.7|Info|add_mediainfo_to_episodefile|Starting migration to 56
20-10-4 18:55:44.7|Info|MigrationLogger|*** 57: convert_episode_file_path_to_relative migrating ***
20-10-4 18:55:44.7|Info|convert_episode_file_path_to_relative|Starting migration to 57
20-10-4 18:55:44.7|Info|MigrationLogger|*** 58: drop_episode_file_path migrating ***
20-10-4 18:55:44.7|Info|drop_episode_file_path|Starting migration to 58
20-10-4 18:55:44.7|Info|MigrationLogger|*** 59: add_enable_options_to_indexers migrating ***
20-10-4 18:55:44.7|Info|add_enable_options_to_indexers|Starting migration to 59
20-10-4 18:55:44.7|Info|MigrationLogger|*** 60: remove_enable_from_indexers migrating ***
20-10-4 18:55:44.7|Info|remove_enable_from_indexers|Starting migration to 60
20-10-4 18:55:44.7|Info|MigrationLogger|*** 61: clear_bad_scene_names migrating ***
20-10-4 18:55:44.7|Info|clear_bad_scene_names|Starting migration to 61
20-10-4 18:55:44.7|Info|MigrationLogger|*** 62: convert_quality_models migrating ***
20-10-4 18:55:44.7|Info|convert_quality_models|Starting migration to 62
20-10-4 18:55:44.8|Info|MigrationLogger|*** 63: add_remotepathmappings migrating ***
20-10-4 18:55:44.8|Info|add_remotepathmappings|Starting migration to 63
20-10-4 18:55:44.8|Info|MigrationLogger|*** 64: remove_method_from_logs migrating ***
20-10-4 18:55:44.8|Info|remove_method_from_logs|Starting migration to 64
20-10-4 18:55:44.8|Info|MigrationLogger|*** 65: make_scene_numbering_nullable migrating ***
20-10-4 18:55:44.8|Info|make_scene_numbering_nullable|Starting migration to 65
20-10-4 18:55:44.8|Info|MigrationLogger|*** 66: add_tags migrating ***
20-10-4 18:55:44.8|Info|add_tags|Starting migration to 66
20-10-4 18:55:44.8|Info|MigrationLogger|*** 67: add_added_to_series migrating ***
20-10-4 18:55:44.8|Info|add_added_to_series|Starting migration to 67
20-10-4 18:55:44.8|Info|MigrationLogger|*** 68: add_release_restrictions migrating ***
20-10-4 18:55:44.8|Info|add_release_restrictions|Starting migration to 68
20-10-4 18:55:44.8|Info|MigrationLogger|*** 69: quality_proper migrating ***
20-10-4 18:55:44.8|Info|quality_proper|Starting migration to 69
20-10-4 18:55:44.8|Info|MigrationLogger|*** 70: delay_profile migrating ***
20-10-4 18:55:44.8|Info|delay_profile|Starting migration to 70
20-10-4 18:55:44.9|Info|MigrationLogger|*** 71: unknown_quality_in_profile migrating ***
20-10-4 18:55:44.9|Info|unknown_quality_in_profile|Starting migration to 71
20-10-4 18:55:44.9|Info|MigrationLogger|*** 72: history_downloadId migrating ***
20-10-4 18:55:44.9|Info|history_downloadId|Starting migration to 72
20-10-4 18:55:44.9|Info|MigrationLogger|*** 73: clear_ratings migrating ***
20-10-4 18:55:44.9|Info|clear_ratings|Starting migration to 73
20-10-4 18:55:44.9|Info|MigrationLogger|*** 74: disable_eztv migrating ***
20-10-4 18:55:44.9|Info|disable_eztv|Starting migration to 74
20-10-4 18:55:44.9|Info|MigrationLogger|*** 75: force_lib_update migrating ***
20-10-4 18:55:44.9|Info|force_lib_update|Starting migration to 75
20-10-4 18:55:45.0|Info|MigrationLogger|*** 76: add_users_table migrating ***
20-10-4 18:55:45.0|Info|add_users_table|Starting migration to 76
20-10-4 18:55:45.0|Info|MigrationLogger|*** 77: add_add_options_to_series migrating ***
20-10-4 18:55:45.0|Info|add_add_options_to_series|Starting migration to 77
20-10-4 18:55:45.0|Info|MigrationLogger|*** 78: add_commands_table migrating ***
20-10-4 18:55:45.0|Info|add_commands_table|Starting migration to 78
20-10-4 18:55:45.0|Info|MigrationLogger|*** 79: dedupe_tags migrating ***
20-10-4 18:55:45.0|Info|dedupe_tags|Starting migration to 79
20-10-4 18:55:45.1|Info|MigrationLogger|*** 81: move_dot_prefix_to_transmission_category migrating ***
20-10-4 18:55:45.1|Info|move_dot_prefix_to_transmission_category|Starting migration to 81
20-10-4 18:55:45.1|Info|MigrationLogger|*** 82: add_fanzub_settings migrating ***
20-10-4 18:55:45.1|Info|add_fanzub_settings|Starting migration to 82
20-10-4 18:55:45.1|Info|MigrationLogger|*** 83: additonal_blacklist_columns migrating ***
20-10-4 18:55:45.1|Info|additonal_blacklist_columns|Starting migration to 83
20-10-4 18:55:45.1|Info|MigrationLogger|*** 84: update_quality_minmax_size migrating ***
20-10-4 18:55:45.1|Info|update_quality_minmax_size|Starting migration to 84
20-10-4 18:55:45.1|Info|MigrationLogger|*** 85: expand_transmission_urlbase migrating ***
20-10-4 18:55:45.1|Info|expand_transmission_urlbase|Starting migration to 85
20-10-4 18:55:45.1|Info|MigrationLogger|*** 86: pushbullet_device_ids migrating ***
20-10-4 18:55:45.1|Info|pushbullet_device_ids|Starting migration to 86
20-10-4 18:55:45.1|Info|MigrationLogger|*** 87: remove_eztv migrating ***
20-10-4 18:55:45.1|Info|remove_eztv|Starting migration to 87
20-10-4 18:55:45.1|Info|MigrationLogger|*** 88: pushbullet_devices_channels_list migrating ***
20-10-4 18:55:45.1|Info|pushbullet_devices_channels_list|Starting migration to 88
20-10-4 18:55:45.2|Info|MigrationLogger|*** 89: add_on_rename_to_notifcations migrating ***
20-10-4 18:55:45.2|Info|add_on_rename_to_notifcations|Starting migration to 89
20-10-4 18:55:45.2|Info|MigrationLogger|*** 90: update_kickass_url migrating ***
20-10-4 18:55:45.2|Info|update_kickass_url|Starting migration to 90
20-10-4 18:55:45.2|Info|MigrationLogger|*** 91: added_indexerstatus migrating ***
20-10-4 18:55:45.2|Info|added_indexerstatus|Starting migration to 91
